-1 to Strike | Attackers Striking this shield-bearer take -1 to the Strike roll.
2H | Cannot use a Shield.
2HBastard | Melee weapon (Forged). AP -3, Init +0. Keywords: Cleave, 2H, Unwieldy.
Abbey | Pursuit (Civic). Innate: Once/turn: Influence +1 another player's Piety Envoy / Mastery: Morale is improved by 1, to a maximum of 2+.
Abstain | Decline to spend Influence on a vote.
Academy | Pursuit (Civic). Innate: Influence +1 to Council Envoys / Mastery: Influence +1 to non-Council Envoys
adjacent | Range 1.
Advanced Blast Furnace | Pursuit (Monument). Innate: Upkeep -500; Your weapons gain -1 AP, incoming attack's AP is reduced by 1. / Mastery: Crafted Tier Unlocked
Alchemy | Pursuit (Craft). Innate: +100 / Mastery: +200; Craft+1
Alliance | A Treaty binding players to mutual support; Military and Defensive Alliances unlock by Era.
Animal Husbandry | Pursuit (Husbandry). Innate: +100, Natural / Mastery: +300
AP | Armor Penetration — a weapon's (negative) modifier to the defender's Save roll; the more negative, the harder to save.
Apiary | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Apothecary | Pursuit (Civic). Innate: +300 / Mastery: Gain Recover 6, or improve Recover by +1.
Arable Land | Pursuit (Raw Materials). Innate: +300, Natural; Craft +1
Aristocratic Court | Pursuit (Monument). Innate: Doubt +1 / Mastery: Your Vote counts as 2 votes toward Domain selection during the Council Phase.
Arming Sword | Melee weapon (Wrought). AP -1, Init +0. Keywords: Steady, Deadly.
Armory | Pursuit (Craft). Innate: Unlock Chainmail; Craft +1 / Mastery: Upkeep -200
Artisan Workshop | Pursuit (Civic). Innate: +400, Faith +1 / Mastery: +200
Ascension / Era. Renown 8, armies 2, cities 1, influence/turn 2, envoys: Council Envoys perform 2 actions of that domain. Unlocks: May resolve Charter Cities
Attacker / Defender | Set by the roll-off. Each Skirmish the Attacker declares equipment first; the Defender then responds.
Bakery | Pursuit (Craft). Innate: +300; Faith +1 / Mastery: +100; Craft +2
Bandit | Neutral hostile force; Bandit Camps spawn in Outlaw Country and on low Public Order.
Bastard Sword | Melee weapon (Forged). AP -3, Init +0. Keywords: Steady, Deadly.
Battle | One fight between two players, resolved as a series of Skirmishes until a side is wiped out, Routs, or Falls Back.
Battle Axe | Melee weapon (Wrought). AP -2, Init -1. Keywords: Unstoppable, 2H, Cleave.
Beacon Towers | Pursuit (Energy). Mastery: Whenever a non-allied Army ends a Move action within Province, you may immediately perform a Move action
Bell Tower | Pursuit (Civic). Innate: +1 Influence/turn / Mastery: Influence +1 to Piety actions
Black Market | Pursuit (Secrecy). Innate: When another player Extorts gold from any source: Extort 200 per 1000 (minimum 100) from that player at the end of that resolution. / Mastery: When another player Recoups gold from any source: Extort 200 per 1000 (minimum 100) from that player at the end of that resolution.
Blacksmith | Pursuit (Craft). Innate: +200; Craft +1 / Mastery: Unlocks Wrought Tier
Blocked | -1 Initiative in the first Skirmish (negated by Immune Blocked).
Blunder | At Initiative -2 or lower, your to-Strike is set to 6+, before other negative modifiers.
Border | Your Settlement's Reach is Range 1 or within Reach of another Player's Reach.
Break check | Taken by each Fatigued side's field every Skirmish, just before it gains its Fatigue token. Roll Morale (up to 5 dice, modified by Fatigue tokens); failures are casualties, but a Break check never triggers a Panic check. Unbreakable auto-passes.
Bridges | Infrastructure (Developed). Upkeep 0 (â€”), build 3. Armies cross Water Territory at full movement; Stone Roads may be built over Water
Build | Construct Infrastructure (Industry action).
Burgages | Pursuit (Energy). Innate: +200 / Mastery: Faith +1
Butchery | Pursuit (Craft). Innate: +300 / Mastery: Upkeep -200; Craft+1
Caravanery | Pursuit (Craft). Innate: Influence -1 to Intercept Caravan actions targeting your settlements / Mastery: Craft +2
Carpentry | Pursuit (Craft). Innate: Build Timer −1 / Mastery: +100; Craft+1
Casualty | A retinue removed from the field — from an unsaved Strike or a failed Panic or Break check.
Cathedral | Infrastructure (Sophisticated). Upkeep 50 (per Settlement), build 4. Faith +1
Cavalry Spear | Melee weapon (Wrought). AP -2, Init +0. Keywords: Unwieldy, Steady.
Census Hall | Pursuit (Craft). Innate: Doubt +1; Craft +2 / Mastery: +600
Chainmail | Armor (Wrought). Save 4+. Keywords: none.
Chandlery | Pursuit (Craft). Innate: +200 / Mastery: Influence −1 to Cunning actions targeting you; Craft +1
Charcoal Burner | Pursuit (Energy). Innate: +400
Charter | Found or upgrade a Settlement (Industry action).
Cidery | Pursuit (Craft). Innate: Faith +1, +300 / Mastery: +300; Craft +1
