Faction,Difficulty,Strength,Mechanic
The Battering Ram,Low,Medium,Siege Specialist
The Boundless Steppe,Low,Medium,Horsemasters
The Bandit King,Low,Low,Friends in Low Places
The Crowned Star,Low,Medium,The Monarch
The Crimson Tide,Low,Medium,Sea Lanes
The Entwined Crown,Low,Medium,Royal Marriage
The Eternal Court,Low,Medium,Patient Court
The Final Word,Low,Medium,The Decider
The Gilded Crescent,Low,Medium,Prosperity For All
The Gilded Path,Low,Low,Silk Road
The Hermit Crown,Low,Low,"Independent, but Ambitious"
The Illuminated Order,Low,Medium,Knowledge is Power
The Iron Faith,Low,Medium,Fortress of Faith
The Iron Shore,Low,Medium,Scavengers
The Iron Throne,Low,Medium,Unimpeachable
The Merchant Republics,Low,High,Heart of Trade
The Sacred Throne,Low,High,Sacrosanct
The Tunnellers,Low,Low,Tunnellers
The Undying Flame,Low,Low,Martyrdom
The Verdant Kingdom,Low,High,Peaceful & Inventive
The Winter Wolves,Low,Medium,Danegeld
The Ancient Wilds,Medium,High,Highlander Way
The Bloodied Cross,Medium,High,Prophets of War
The Blazing Standard,Medium,High,Burning Cross
The Inner Circle,Medium,Medium,Palatine
The Luminous Court,Medium,Medium,Arts & Humanities / Hearts & Minds
The Grand Compact,Medium,Medium,Mercantile Pact
The Pale Throne,Medium,Low,Inexorable
The Sublime Gate,Medium,Medium,Integrated Arms
The Velvet Hand,Medium,Medium,Friends in High Places
The Ashen Vale,High,Low,Pestilence
The Broken Banner,High,Low,The Highest Bidder
The Forked Tongue,High,High,Masters of Duplicity
The Hall of Masks,High,High,Mimic
The Smoldering Crown,High,Medium,Reckless
The Squatters' Crown,High,Medium,Occupy
The Wandering Crown,High,Medium,Wandering Nomads
The Dukedom,High,High,The Great Arbiter
The Elder Grove,Low,Medium,Wise & Suspicious
The Yew Heart,Low,Medium,Archery is a Way of Life
