Pursuits,Type,Unlock Requirement,Mastery Requirement,Innate Effects,Mastery Effect,Builds Into
Quarry,Raw Materials,-,Masonry,"+300, **Natural**; Craft +1",**Efficient Masonry**,Masonry
Salt Works,Raw Materials,-,Smokehouse,"+300, **Natural**; Craft +1",**Efficient Smokehouse**,"Smokehouse, Harbor, Reliquary, Levy Hall"
Apiary,Raw Materials,-,Chandlery,"+300, **Natural**; Craft +1",**Efficient Chandlery**,"Chandlery, Alchemy, Vineyard, Orchard, Meadery"
Peat Bog,Raw Materials,-,Alchemy,"+300, **Natural**; Craft +1",**Efficient Alchemy**,"Alchemy, Herb Garden, Vineyard, Orchard"
Forestry,Raw Materials,-,Carpentry,"+300, **Natural**; Craft +1",**Efficient Carpentry**,"Carpentry, Fletchery, Kiln, Charcoal Burner"
Fishmongery,Raw Materials,Water Settlement,Harbor,"+300, **Natural**; Craft +1",**Efficient Harbor**,Harbor
Mine,Raw Materials,-,Blacksmith,"+300, **Natural**; Craft +1",**Efficient Furnace**,"Furnace, Blacksmith, Jewelry Foundry"
Arable Land,Raw Materials,-,Granary,"+300, **Natural**; Craft +1",**Efficient Granary**,"Granary, Herb Garden, Animal Husbandry, Bakery, Vineyard, Orchard"
Common Land,Raw Materials,-,Workyard,"+500, **Natural**, **Doubt 1**",**Efficient Workyard**,"Workyard, Burgages"
Herb Garden,Husbandry,-,Arable Land or Peat Bog,"+200, **Natural**",**Efficient Hamlet**,"Apothecary, Spice Merchant"
Animal Husbandry,Husbandry,-,Arable Land,"+100, **Natural**",300,"Saddlery, Tannery, Stable, Weavery, Butchery"
Saddlery,Husbandry,-,Arable Land + Animal Husbandry + Stable,"+200, **Natural**",**Upkeep -200**,-
Vineyard,Husbandry,-,Arable Land + Apiary or Peat Bog,**Natural**,+600 in **Fall**,Winery
Orchard,Husbandry,-,Arable Land + Apiary or Peat Bog,**Natural**,+400 in **Fall**,"Meadery, Cidery"
Carpentry,Craft,-,Forestry,**Build Timer −1**,100; Craft+1,"Joinery, Fletchery, Artisan Workshop, Trade Guild, Shipyard, Stable"
Alchemy,Craft,-,Apiary or Peat Bog,100,100; Craft+1,"Academy, Infirmary, Toxicarium"
Masonry,Craft,-,Quarry,**Build Timer −1**,100; Craft+1,"Courtyard, Episcopal Court, Trade Guild, Citadel"
Butchery,Craft,-,Animal Husbandry + Tannery + Salt Works,300,**Upkeep -200**; Craft+1,Smokehouse
Bakery,Craft,-,Arable Land + Windmill or Watermill,300; Faith 1,+100; Craft +2,-
Weavery,Craft,-,Merchant Quarter + Animal Husbandry,300,300; Craft +2,Artisan Workshop
Fletchery,Craft,-,Forestry + Carpentry,Unlocks **Ranged Weapons**,**Upkeep -200**,Tiltyard
Chandlery,Craft,-,Apiary,200,**Influence −1** to Cunning actions targeting you; Craft +1,"Reliquary, Pilgrimage Site"
Tannery,Craft,-,Animal Husbandry,**Unlocks Leather Armor**,**Upkeep -200**; Craft +1,"Butchery, Armory"
Joinery,Craft,Rising Industry,Carpentry,"+200, unlocks **Shields**",**Upkeep -200**,"Winery, Meadery, Cidery"
Furnace,Craft,-,Mine,Unlocks **Cast Weapons**,200,"Blacksmith, Jewelry Foundry"
Blacksmith,Craft,Rising Industry,Furnace,200; Craft +1,"Unlocks **Wrought** Tier, **Efficient Furnace**","Forge, Armory, Stable, Siege Works, Supply Depot"
Jewelry Foundry,Craft,-,Mine + Merchant Quarter + Furnace,200; Craft +2,+500; **Influence 2** to Cunning Envoys targeting this Player,-
Armory,Craft,Rising Industry,Tannery + Blacksmith,**Unlock Chainmail**; Craft +1,"**Upkeep -200**, **Efficient Tannery**",Gilded Foundry
Master Workshop,Craft,Established Industry,Forge + Blacksmith,**Upkeep -200**; Craft +1,Add **Serrated** to Weapons,Advanced Blast Furnaces
Gilded Foundry,Craft,Established Industry, Armory + Blacksmith,Planishing: your to Save modifier cannot be reduced beyond 6+.; Craft +1,**Unlock Plate Armor**;,Advanced Blast Furnaces
Smokehouse,Craft,-,Salt Works + Kiln + Butchery,300; Craft +1,"**Upkeep -200**, **Efficient Butchery**",Supply Depot
Workyard,Craft,-,Common Land,"**Doubt 1**, +400",400,"Census Hall, Storehouse"
Storehouse,Craft,Sovereign Industry,College of Engineering + Workyard + Shipyard,"**Doubt 2**, +600",**Build Timer −2**,-
Meadery,Craft,-,Apiary + Inn,"**Efficient Apiary**, **Faith 1**, +300","+200, gain **Speed +1** in **Winter**",-
Winery,Craft,-,Vineyard + Joinery,"**Efficient Vineyard**, +400",Craft +3,-
Cidery,Craft,-,Orchard + Joinery + Inn,"**Efficient Orchard**, **Faith 1**, +300",300; Craft +1,-
Market Square,Craft,Rising Industry,2 Raw Materials,Craft +2,"+400, **Efficient Courtyard**","Inn, Merchant Quarter, Spice Merchant, Census Hall, Thieves' Guild"
Inn,Craft,-,Caravanery + Market Square,**Faith 1** for trading partners with Craft 3+,**Faith 1**,"Secret Cellar, Meadery, Cidery"
Spice Merchant,Craft,-,Caravanery + Merchant Quarter + Herb Garden,+300; Influence +1 to Cunning Envoys targeting you,+500; Craft +2,-
Harbor,Craft,Water Settlement,Fishmongery + Salt Works,+300; Craft +2,**Extort 200** per **player** without **Harbor**,Shipyard
Merchant Quarter,Craft,Rising Industry,Craft 3 + Market Square,"+400, Efficient Market Square",Trade Partners gain Craft +1,"Money Lending, Court Artists, Spice Merchant, Jewelry Foundry, Weavery"
Money Lending,Power,Established Industry,Merchant Quarter,**Extort 500**,Loan money to Trade Partners at 10%/turn interest; on Default: Perform **Demand Tribute**,"Court Artists, Aristocratic Court"
Census Hall,Craft,-,Workyard + Market Square,**Doubt 1**; Craft +2,600,-
