tree,pathology,node,parents,tier,domain,type
Butchery,Path of Butchery,Salt Works,,Untested,—,Raw Materials
Butchery,Path of Butchery,Arable Land,,Untested,—,Raw Materials
Butchery,Path of Butchery,Forestry,,Untested,—,Raw Materials
Butchery,Path of Butchery,Animal Husbandry,Arable Land,—,Industry,Husbandry
Butchery,Path of Butchery,Tannery,Animal Husbandry,—,Industry,Craft
Butchery,Path of Butchery,Kiln,Forestry,Rising,Industry,Energy
Butchery,Path of Butchery,Butchery,Animal Husbandry; Tannery; Salt Works,—,Industry,Craft
Butchery,Path of Butchery,Smokehouse,Salt Works; Kiln; Butchery,—,Industry,Craft
Shipyard,Path of Seafaring,Forestry,,Untested,—,Raw Materials
Shipyard,Path of Seafaring,Fishmongery,,Untested,—,Raw Materials
Shipyard,Path of Seafaring,Carpentry,Forestry,—,Industry,Craft
Shipyard,Path of Seafaring,Harbor,Fishmongery,—,Industry,Craft
Shipyard,Path of Seafaring,Shipyard,Carpentry; Harbor,—,Industry,Craft
Shipyard,Path of Seafaring,Kiln,Forestry,Rising,Industry,Energy
Shipyard,Path of Seafaring,Charcoal Burner,Forestry; Kiln,Rising,Industry,Energy
Shipyard,Path of Seafaring,Windmill,Carpentry,Rising,Industry,Energy
Shipyard,Path of Seafaring,Watermill,Carpentry,Rising,Industry,Energy
Siege Camp,Path of Sieging,Mine,,Untested,—,Raw Materials
Siege Camp,Path of Sieging,Furnace,Mine,—,Industry,Craft
Siege Camp,Path of Sieging,Blacksmith,Furnace,Rising,Industry,Craft
Siege Camp,Path of Sieging,Siege Works,Blacksmith,Rising,Prowess,Power
Siege Camp,Path of Sieging,Siege Camp,Siege Works,Established,Prowess,Power
Studium Generale,Path of Influence,Apiary,,Untested,—,Raw Materials
Studium Generale,Path of Influence,Peat Bog,,Untested,—,Raw Materials
Studium Generale,Path of Influence,Library,,—,Civic,Civic
Studium Generale,Path of Influence,Alchemy,Apiary; Peat Bog,—,Industry,Craft
Studium Generale,Path of Influence,Academy,Library; Alchemy,—,Civic,Civic
Studium Generale,Path of Influence,University,Academy,—,Civic,Power
Studium Generale,Path of Influence,Studium Generale,University,Sovereign,Industry,Monument
Saddlery,Path of Riding,Arable Land,,Untested,—,Raw Materials
Saddlery,Path of Riding,Quarry,,Untested,—,Raw Materials
Saddlery,Path of Riding,Mine,,Untested,—,Raw Materials
Saddlery,Path of Riding,Masonry,Quarry,Rising,Industry,Craft
Saddlery,Path of Riding,Furnace,Mine,—,Industry,Craft
Saddlery,Path of Riding,Blacksmith,Furnace,Rising,Industry,Craft
Saddlery,Path of Riding,Animal Husbandry,Arable Land,—,Industry,Husbandry
Saddlery,Path of Riding,Courtyard,Masonry,—,Industry,Civic
Saddlery,Path of Riding,Conditioning Field,Courtyard,—,Industry,Civic
Saddlery,Path of Riding,Stable,Animal Husbandry; Conditioning Field; Blacksmith,—,Industry,Transportation
Saddlery,Path of Riding,Saddlery,Arable Land; Animal Husbandry; Stable,—,Industry,Husbandry
Saddlery,Path of Riding,Windmill,Arable Land,Rising,Industry,Energy
Manor House,Path of Farming,Hamlet,,—,Civic,Civic
Manor House,Path of Farming,Arable Land,Hamlet,Untested,—,Raw Materials
Manor House,Path of Farming,Apiary,,Untested,—,Raw Materials
Manor House,Path of Farming,Peat Bog,,Untested,—,Raw Materials
