name,retinue,weapon,shield,armor,ranged,tiltyard,size,tags,playstyle,wins,losses,mut_wipe,indecisive,n_battles,win_rate,loss_rate,decisive_rate,decisive_win_rate,avg_self_survivors,avg_opp_survivors,kill_efficiency,upkeep_per_retinue,army_upkeep,wins_per_1000_upkeep,military_pursuit_count,domain_count,pursuits
Lev/Cudgel/Cloth [Outr:once],Levy,Cudgel,,Cloth,,False,50,Outrider: once,Random,7,76339,16176,1528,94050,0.0001,0.8117,0.9838,0.0001,0.81,33.58,-32.77,1000,50000,0.14,5,13,Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post
Lev/FarmTools/Wooden/Cloth [Outr:once],Levy,Farm Tools,Wooden Shield,Cloth,,False,50,Outrider: once,Random,1,76145,16371,1533,94050,0.0000,0.8096,0.9837,0.0000,0.82,36.47,-35.66,800,40000,0.03,5,13,Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post
Lev/HuntBow/Cloth [Outr:once],Levy,,,Cloth,Hunting Bow,False,50,Outrider: once,Random,17,76317,16168,1548,94050,0.0002,0.8115,0.9835,0.0002,0.83,33.09,-32.26,800,40000,0.42,5,10,Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post
Lev/Cudgel/Cloth [Outr:every],Levy,Cudgel,,Cloth,,False,50,Outrider: every,Random,55,71572,15521,6902,94050,0.0006,0.7610,0.9266,0.0008,2.35,32.30,-29.95,1000,50000,1.10,5,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery
Lev/FarmTools/Cloth [Outr:every],Levy,Farm Tools,,Cloth,,False,50,Outrider: every,Random,13,71702,15651,6684,94050,0.0001,0.7624,0.9289,0.0002,2.23,34.89,-32.66,1000,50000,0.26,5,10,Caravanery|Cipher Chamber|Outrider Intercept Post|Outrider Mastery
Lev/FarmTools/Wooden/Cloth [Outr:every],Levy,Farm Tools,Wooden Shield,Cloth,,False,50,Outrider: every,Random,2,71358,15649,7041,94050,0.0000,0.7587,0.9251,0.0000,2.37,36.05,-33.68,800,40000,0.05,7,13,Caravanery|Carpentry|Cipher Chamber|Joinery|Outrider Intercept Post|Outrider Mastery
Lev/HuntBow/Cloth [Outr:every],Levy,,,Cloth,Hunting Bow,False,50,Outrider: every,Random,123,71559,15565,6803,94050,0.0013,0.7609,0.9277,0.0017,2.33,31.92,-29.59,800,40000,3.08,7,10,Caravanery|Carpentry|Cipher Chamber|Fletchery|Outrider Intercept Post|Outrider Mastery
Lev/HuntBow/Cloth [Rend],Levy,,,Cloth,Hunting Bow,False,50,Rend,Random,14,89025,29502,909,119450,0.0001,0.7453,0.9924,0.0002,0.28,29.66,-29.38,400,20000,0.70,5,9,Carpentry|Fletchery|Joinery|Levy Hall|MWRend
"Lev/Cudgel/Cloth [Outr:once, Rend]",Levy,Cudgel,,Cloth,,False,50,"Outrider: once,Rend",Random,9,76323,16193,1525,94050,0.0001,0.8115,0.9838,0.0001,0.81,33.09,-32.28,600,30000,0.30,5,19,Caravanery|Cipher Chamber|Levy Hall|MWRend|Outrider Intercept Post
"Lev/FarmTools/Cloth [Outr:once, Rend]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: once,Rend",Random,2,76291,16185,1572,94050,0.0000,0.8112,0.9833,0.0000,0.84,35.29,-34.45,600,30000,0.07,5,19,Caravanery|Cipher Chamber|Levy Hall|MWRend|Outrider Intercept Post
"Lev/FarmTools/Wooden/Cloth [Outr:once, Rend]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: once,Rend",Random,0,76209,16276,1565,94050,0.0000,0.8103,0.9834,0.0000,0.83,36.26,-35.43,600,30000,0.00,6,16,Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post
"Lev/HuntBow/Cloth [Outr:once, Rend]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: once,Rend",Random,19,76203,16232,1596,94050,0.0002,0.8102,0.9830,0.0002,0.85,32.58,-31.73,600,30000,0.63,6,16,Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post
"Lev/Cudgel/Cloth [Outr:every, Rend]",Levy,Cudgel,,Cloth,,False,50,"Outrider: every,Rend",Random,39,71541,15568,6902,94050,0.0004,0.7607,0.9266,0.0005,2.36,31.68,-29.32,800,40000,0.97,6,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery
"Lev/FarmTools/Cloth [Outr:every, Rend]",Levy,Farm Tools,,Cloth,,False,50,"Outrider: every,Rend",Random,11,71496,15629,6914,94050,0.0001,0.7602,0.9265,0.0002,2.33,34.52,-32.19,800,40000,0.28,6,16,Caravanery|Cipher Chamber|MWRend|Outrider Intercept Post|Outrider Mastery
"Lev/FarmTools/Wooden/Cloth [Outr:every, Rend]",Levy,Farm Tools,Wooden Shield,Cloth,,False,50,"Outrider: every,Rend",Random,6,71317,15651,7076,94050,0.0001,0.7583,0.9248,0.0001,2.42,35.73,-33.32,600,30000,0.20,8,16,Caravanery|Carpentry|Cipher Chamber|Joinery|MWRend|Outrider Intercept Post|Outrider Mastery
"Lev/HuntBow/Cloth [Outr:every, Rend]",Levy,,,Cloth,Hunting Bow,False,50,"Outrider: every,Rend",Random,119,71358,15569,7004,94050,0.0013,0.7587,0.9255,0.0017,2.38,31.33,-28.94,600,30000,3.97,8,16,Caravanery|Carpentry|Cipher Chamber|Fletchery|MWRend|Outrider Intercept Post|Outrider Mastery
Lev/Cudgel/Leather,Levy,Cudgel,,Leather,,False,50,,Random,8,88645,29952,845,119450,0.0001,0.7421,0.9929,0.0001,0.27,30.52,-30.25,600,30000,0.27,5,6,Animal Husbandry|Carpentry|Joinery|Levy Hall|Tannery
Lev/FarmTools/Kite/Leather,Levy,Farm Tools,Kite Shield,Leather,,False,50,,Random,3,88152,30425,870,119450,0.0000,0.7380,0.9927,0.0000,0.28,31.62,-31.34,400,20000,0.15,5,6,Animal Husbandry|Carpentry|Joinery|Levy Hall|Tannery
Lev/HuntBow/Leather,Levy,,,Leather,Hunting Bow,False,50,,Random,24,88640,29929,857,119450,0.0002,0.7421,0.9928,0.0003,0.27,29.89,-29.62,400,20000,1.20,5,3,Animal Husbandry|Carpentry|Fletchery|Levy Hall|Tannery
Lev/Cudgel/Leather [Outr:once],Levy,Cudgel,,Leather,,False,50,Outrider: once,Random,9,76194,16296,1551,94050,0.0001,0.8101,0.9835,0.0001,0.83,33.45,-32.63,800,40000,0.23,5,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Tannery
Lev/FarmTools/Leather [Outr:once],Levy,Farm Tools,,Leather,,False,50,Outrider: once,Random,1,76174,16292,1583,94050,0.0000,0.8099,0.9832,0.0000,0.84,35.50,-34.65,800,40000,0.03,5,10,Animal Husbandry|Caravanery|Cipher Chamber|Outrider Intercept Post|Tannery
