a_tactic,b_tactic,n_battles,a_wins,b_wins,a_win_rate,b_win_rate,stalemate_rate
Scout,Scout,6531120,2932157,2242549,0.4490,0.3434,0.2077
Scout,Ambush,6379669,2022913,3074332,0.3171,0.4819,0.2010
Scout,Flank,5266522,2294985,1896402,0.4358,0.3601,0.2041
Scout,Charge,4456091,1775906,1758722,0.3985,0.3947,0.2068
Scout,Fighting Formation,7512543,3624161,2378297,0.4824,0.3166,0.2010
Scout,Defensive Formation,5882386,2001727,2637389,0.3403,0.4484,0.2114
Scout,Fall Back,250120,0,0,0.0000,0.0000,1.0000
Ambush,Scout,5463097,2395318,1923951,0.4385,0.3522,0.2094
Ambush,Ambush,4379902,1711268,1715118,0.3907,0.3916,0.2177
Ambush,Flank,7569418,3529355,2463446,0.4663,0.3254,0.2083
Ambush,Charge,6754001,2408750,2979077,0.3566,0.4411,0.2023
Ambush,Fighting Formation,4436362,1816621,1697184,0.4095,0.3826,0.2080
Ambush,Defensive Formation,5909171,2538021,2090543,0.4295,0.3538,0.2167
Ambush,Fall Back,249396,0,0,0.0000,0.0000,1.0000
Flank,Scout,6579671,2148680,3064581,0.3266,0.4658,0.2077
Flank,Ambush,7990042,2549190,3721968,0.3190,0.4658,0.2151
Flank,Flank,4383364,1605578,1607886,0.3663,0.3668,0.2669
Flank,Charge,4380604,1696407,1770295,0.3873,0.4041,0.2086
Flank,Fighting Formation,10008063,2918232,5059498,0.2916,0.5055,0.2029
Flank,Defensive Formation,4382614,1738564,1718809,0.3967,0.3922,0.2111
Flank,Fall Back,5859105,3587073,1081280,0.6122,0.1845,0.2032
Charge,Scout,4439247,1743661,1775278,0.3928,0.3999,0.2073
Charge,Ambush,6873407,3075501,2414491,0.4474,0.3513,0.2013
Charge,Flank,4386123,1771976,1697803,0.4040,0.3871,0.2089
Charge,Charge,4385831,1767382,1769032,0.4030,0.4034,0.1937
Charge,Fighting Formation,7591714,3597689,2418704,0.4739,0.3186,0.2075
Charge,Defensive Formation,4384829,1570788,1937588,0.3582,0.4419,0.1999
Charge,Fall Back,249446,164025,37134,0.6576,0.1489,0.1936
Fighting Formation,Scout,7786499,2380635,3834721,0.3057,0.4925,0.2018
Fighting Formation,Ambush,4462667,1716387,1821663,0.3846,0.4082,0.2072
Fighting Formation,Flank,9996066,5056026,2920491,0.5058,0.2922,0.2020
Fighting Formation,Charge,7685665,2405622,3671935,0.3130,0.4778,0.2092
Fighting Formation,Fighting Formation,4383688,1751958,1752411,0.3997,0.3998,0.2006
Fighting Formation,Defensive Formation,8635272,2507640,4388369,0.2904,0.5082,0.2014
Fighting Formation,Fall Back,249588,163009,38449,0.6531,0.1540,0.1928
Defensive Formation,Scout,5487218,2421724,1925295,0.4413,0.3509,0.2078
Defensive Formation,Ambush,4578860,1880409,1688962,0.4107,0.3689,0.2205
Defensive Formation,Flank,4385061,1719673,1739791,0.3922,0.3968,0.2111
Defensive Formation,Charge,4383622,1933432,1573040,0.4411,0.3588,0.2001
Defensive Formation,Fighting Formation,9022734,4595854,2591511,0.5094,0.2872,0.2034
Defensive Formation,Defensive Formation,4387524,1728045,1728679,0.3939,0.3940,0.2121
Defensive Formation,Fall Back,249440,0,0,0.0000,0.0000,1.0000
Fall Back,Scout,249105,0,0,0.0000,0.0000,1.0000
Fall Back,Ambush,249178,0,0,0.0000,0.0000,1.0000
Fall Back,Flank,5873270,1078138,3594370,0.1836,0.6120,0.2044
Fall Back,Charge,249432,36788,164155,0.1475,0.6581,0.1944
Fall Back,Fighting Formation,250801,38438,163444,0.1533,0.6517,0.1951
Fall Back,Defensive Formation,250152,0,0,0.0000,0.0000,1.0000
Fall Back,Fall Back,0,0,0,0.0000,0.0000,0.0000
