Inspiration,AI Name,Feel,Difficulty,Strength,Mechanic,Pair,Complement
Siege-focused,The Battering Ram,"Offensive, Arrogant",Low,Medium,"Siege Specialist: You begin the game with a Siege Works (no ward, no upkeep, always active Mastery). If a Player builds a Citadel, you must Siege it as a Personal Win Condition.","Siege Camp, Royal Pavilion",Senate Hall
Mongol Horde,The Boundless Steppe,Fast,Low,Medium,"Horsemasters: Begin the game with a Stable which does not occupy a Settlement ward, cost Upkeep, and counts as an activated Mastery Effect which cannot be deactivated.","Saddlery, Royal Pavilion",Forge
Brigands,The Bandit King,Scrappy,Low,Low,"Friends in Low Places: You begin the game with a Smuggler's Nook which does not occupy a Settlement ward, nor cost upkeep. You always gain its Mastery Effect, which cannot be deactivated. In addition, you may control one Bandit Camp outside your territory each turn. Every turn a Bandit Camp is generated, you may place it in your Outlaw Country instead.","Thieves' Guild, Saddlery",Royal Pavilion
Reigning Sovereign,The Crowned Star,Sovereign Voice,Low,Medium,"The Monarch: Each Turn, you choose each Council Envoy's Domain. All Envoys you send gain Influence -1.","Senate Hall, Aristocratic Court",Royal Pavilion
Pirate,The Crimson Tide,Pirate Life,Low,Medium,"Sea Lanes: Other Players cannot Perform Intercept Caravan on you. You begin the game with a Shipyard that does not occupy a Settlement ward, does not cost upkeep, and always has the Mastery Effect, even if you do not have a Water Settlement.","Shipyard, Thieves' Guild",Royal Pavilion
Habsburg Dynasty,The Entwined Crown,"Diplomatic, Inescapable",Low,Medium,"Royal Marriage: Once per game, you may Join an Alliance without unanimous consent, or Form an Alliance with a Player who is not in one. Whoever is in that Alliance gains Faith 1 and +1 Influence per turn.","Aristocratic Court, Senate Hall",Royal Pavilion
Byzantine Empire,The Eternal Court,Patient & Reserved,Low,Medium,"Patient Court: Your influence is never wasted — unspent influence is not discarded in the Rest Phase. Once the Era is Zenith, you have a cap of 5 on influence you spend per envoy, regardless of your Domain Standing.","Senate Hall, Aristocratic Court",Royal Pavilion
Warlord Council,The Final Word,Cold Steel,Low,Medium,The Decider: Ignore the Innate Doubt & Influence Modifiers that are triggered for being at War.,"Royal Pavilion, Imperial Palace",Senate Hall
Moorish Caliphate,The Gilded Crescent,Egalitarian,Low,Medium,"Prosperity For All: Begin the game with an Inn which does not occupy a Settlement ward, cost Upkeep, and counts as an activated Mastery Effect which cannot be deactivated. You always gain trade income on the turn trade is initiated or ended, regardless of who started and who broke the trade agreement.","Meadery & Winery, Studium Generale",Royal Pavilion
Great Income,The Gilded Path,Rich Trader,Low,Low,"Silk Road: You begin the game with an Artisan Workshop (no ward, no upkeep, always active Mastery). However, you cannot refuse a Trade Agreement.","Meadery & Winery, Forge",Royal Pavilion
Independent,The Hermit Crown,Independent,Low,Low,"Independent, but Ambitious: You Abstain every Vote on other Players' Envoys, and other Players must use 2 Influence to affect your Envoys by 1. Gain Influence 1 to all Personal Envoys.","Studium Generale, Saddlery",Royal Pavilion
Scholarly,The Illuminated Order,Knowledge is Power,Low,Medium,"Knowledge is Power: For every 2 Pursuits, gain +1 Influence each turn.","Studium Generale, Senate Hall",Royal Pavilion
Crusader States,The Iron Faith,Piously Resolute,Low,Medium,"Fortress of Faith: While Public Order is greater than or equal to 3, Lay Siege actions targeting Settlements you Control have Siege Timer +2.","Siege Camp, Preceptory of the Knight's Templar",Senate Hall
Norse,The Iron Shore,Scavenger,Low,Medium,"Scavengers: Whether you Win or Lose a Battle, collect the Spoils of War. You may also Recoup the Cost of the Retinues received as Casualties in that Battle. Lastly, whenever you perform the Repair action, recoup its cost, even if it only passed.","Royal Pavilion, Shipyard",Forge
Defensive,The Iron Throne,"Defensive, Impenetrable",Low,Medium,"Unimpeachable: Begin the game with a Citadel (no ward, no upkeep, always active Mastery). You (or your alliance) cannot perform Declare War or Crusade.","Inquisitorial Palace, Senate Hall",Royal Pavilion
Italian City States,The Merchant Republics,Trade Dependent,Low,High,"Heart of Trade: Begin the game with Stone Roads infrastructure, do not pay Upkeep, and cannot be Razed. In order for any Player to be able to trade, they must trade with this Player first, unless at War with this Player. As soon as another Player is eligible, you must attempt to Sign a Trade Agreement once with that Player. You may not perform the End Treaty Diplomacy action.","Shipyard, Meadery & Winery",Royal Pavilion
Papal State,The Sacred Throne,Pure and Defensive,Low,High,Sacrosanct: Players who declare war on you (and their allies) gain an additional Doubt 1.,"Inquisitorial Palace, Preceptory of the Knight's Templar",Royal Pavilion
Dwarves,The Tunnellers,Mountain Passers,Low,Low,"Tunnellers: You treat Mountain Territory like Grasslands for purposes of movement, and begin the game with a Mine Raw Pursuit (no ward, no upkeep, always active Mastery).","Forge, Advanced Blast Furnaces",Royal Pavilion
Martyrs,The Undying Flame,Unconvinced,Low,Low,"Martyrdom: Your Armies gain Steadfast, but your armies continue to suffer −1 To Hit from Fatigue Tokens. Gain Faith 1 for every Player you're at War with and every Battle where you lose 20 or more Retinues, win or loss.","Preceptory of the Knight's Templar, Inquisitorial Palace",Royal Pavilion
Industry,The Verdant Kingdom,Pure Economy,Low,High,"Peaceful & Inventive: You cannot declare war, enter Military Alliances, perform Cunning actions, or build Pursuits that require Prowess or Cunning Standing. In the Income step, gain 100 gold for each Craft Mastery Effect you have active.","Forge, Advanced Blast Furnaces, Meadery & Winery",Senate Hall
Vikings,The Winter Wolves,"Aggressive, Parasitic",Low,Medium,Danegeld: Your Armies do not pay Upkeep in enemy territory when you're at war — the enemy Player pays the Upkeep instead. Do not gain Speed −1 in Winter.,"Royal Pavilion, Shipyard",Forge
Celtic Kingdoms,The Ancient Wilds,Oathkeepers,Medium,High,"Highlander Way: Enemy armies gain Speed −1 in your Controlled Territory. You ignore all Terrain Speed modifiers and may trade without Dirt Roads. You must accept the first Non-Aggression Pact offered by each Player or Alliance. If that Player later joins an alliance, this condition is considered satisfied for that Alliance.","Royal Pavilion, Saddlery",Senate Hall
Crusading Sect,The Bloodied Cross,Holy War Without End,Medium,High,"Prophets of War: May Crusade at Rising Piety instead of Sovereign Piety, and do not have a cap on how many Crusades you may have active. All Players receive Doubt 1 per Crusade you are on. You cannot Convert.","Preceptory of the Knight's Templar, Inquisitorial Palace",Senate Hall
Teutonic Knight,The Blazing Standard,Crusader Feel,Medium,High,"Burning Cross: You begin the game with a Preceptory of the Knight's Templar (no ward, no upkeep, always active Mastery). If you Declared War via Crusade, that Player must take a Shaken Test at the beginning of every Battle. If during the Prowess Envoy phase you do not have an army with 50 Knight's Templars, you must attempt to send an envoy. If it passes, you must muster an army until it has 50 retinues of Knight's Templar.","Preceptory of the Knight's Templar, Royal Pavilion",Senate Hall
Natural Leader,The Inner Circle,Strength Through Diplomacy,Medium,Medium,"Palatine: Players who are allied with you gain Influence 1 to their envoys, but you may spend 1 of their Influence each turn.","Senate Hall, Aristocratic Court",Royal Pavilion
Renaissance,The Luminous Court,Civic Soft Power,Medium,Medium,Arts & Humanities / Hearts & Minds: Cannot Pursue Craft Pursuits. Civic Pursuits gain as Craft +1. All Civic Pursuits do not cost Upkeep. This Player must accept a Peace Treaty if offered one.,"Studium Generale, Aristocratic Court, Senate Hall",Royal Pavilion
Hanseatic League,The Grand Compact,Peace Through Trade,Medium,Medium,"Mercantile Pact: If anyone Declares War on you, Players with Trade Agreements with you must Declare War back or End Trade Agreement.","Shipyard, Senate Hall",Royal Pavilion
Undead,The Pale Throne,Undead,Medium,Low,"Inexorable: Your armies always have Unwieldy and cannot gain Immune Unwieldy, Regenerate, Speed −1, and Steadfast. Your Public Order cannot exceed 1.","Preceptory of the Knight's Templar, Forge",Advanced Blast Furnaces
Ottoman Empire,The Sublime Gate,Mercantile Military,Medium,Medium,"Integrated Arms: You may Muster Retinues and Equipment from your Trade Partners' Pursuits (and Mastery Effects, if active) for their Cost.","Forge, Advanced Blast Furnaces",Royal Pavilion
Patrons,The Velvet Hand,Generous Sponsor,Medium,Medium,"Friends in High Places: At the beginning of the turn, Players gain Faith 1 if they Supported an Envoy you Sent and it was Passed. And, if it was Endorsed, they Extort 500 gold per Era.","Aristocratic Court, Senate Hall",Royal Pavilion
Plague,The Ashen Vale,Sickly,High,Low,"Pestilence: Each bordering Player gains Doubt 1, your settlements gain Reach +1, and all Retinues gain Poison. You may not Pursue an Apothecary, Infirmary, or Hospitaller.","Thieves' Guild, Inquisitorial Palace",Royal Pavilion
Mercenary,The Broken Banner,Always for Sale,High,Low,"The Highest Bidder: You cannot Declare War and cannot be the Target of a Declare War action. However you must sign any Military or Defensive Alliance offered to you by the highest bidding Player each turn and must be paid each turn. In order to overturn an existing Alliance, the Player must pay a higher amount than the prior agreement. You cannot sign or end alliances via a Diplomacy action.","Royal Pavilion, Forge",Senate Hall
Deceptive,The Forked Tongue,Two-Faced,High,High,"Masters of Duplicity: You may hold any number of treaties simultaneously with any number of Players, regardless of contradiction. Your treaties are never automatically canceled or voided by game events. When a situation arises that would normally force a treaty to be canceled, you may choose which obligation to honor, keeping all other treaties intact. Other Players may still end their treaties with you via the End Treaty action.","Thieves' Guild, Senate Hall",Royal Pavilion
Doppelganger,The Hall of Masks,Shifting Identity,High,High,"Mimic: At the beginning of every Player's turn, pick another Player's Faction. You gain that Faction for this turn. Next turn, you cannot select that Faction.","Studium Generale, Senate Hall",Royal Pavilion
Terrorists,The Smoldering Crown,"Aggressive, Destructive",High,Medium,"Reckless: Gain Influence 2 to all Cunning Envoys when targeting a Player with PO > 0. You begin the game with a Secret Cellar (no ward, no upkeep, always active Mastery). Cannot be in an alliance. Cannot Perform Diplomacy actions. If you Send a Prowess Envoy, it cannot Fail — if Condemned, it Passes but still gains Blocked.","Thieves' Guild, Inquisitorial Palace",Royal Pavilion
Insurgents,The Squatters' Crown,Mobile Occupier,High,Medium,"Occupy: You start the game with an additional army. All must begin the game placed inside your settlements. You do not control your settlements when you leave them. To collect taxes or use Pursuits, end your turn inside that Settlement. To Occupy a Settlement, begin a Battle adjacent to the city like a Siege — instead, you Battle against the Garrison and Armies at war with you or owned by the same owner. If you win (or there is no force to fight), move inside. In the Upkeep Phase, only pay upkeep on equipment. You count as having all Infrastructure of Occupied Settlements and always count as 3 Trading Pursuits. When you leave a Settlement, you may not re-enter it until you Occupy another Settlement and a Trade Agreement is signed.","Royal Pavilion, Saddlery",Forge
Nomadic,The Wandering Crown,Nomads,High,Medium,"Wandering Nomads: Your armies function as settlements, classified as a Band, Tribe, or Horde and upgraded accordingly. You may have one additional army per Era, starting with two. Armies do not require troops to exist and cannot be besieged. Nomads cannot build infrastructure but may build pursuits. Raw Material pursuits within Reach are always considered active and do not take a settlement ward. Each army is considered to have a Muster Field. You may trade so long as your border touches another Player's border. Armies count as settlements with a Reach of 3. When an army is destroyed, so is its settlement. You may begin a new army adjacent to any existing army by using either the Charter Settlement or Muster Army actions. Nomads do not pay any upkeep.","Saddlery, Royal Pavilion",Forge
The Game,The Dukedom,King of the Castle,High,High,"The Great Arbiter: The Duke begins the game trading with all Players under a Non-Aggression Pact. The Duke cannot join alliances, perform Cunning actions, or Declare War. If a Player declares war on the Duke, that Player's Trade Agreements, Non-Aggression Pacts, and Defensive Alliances are immediately and permanently voided. Their Military Alliance remains intact. All other Players simultaneously declare war on that Player and their Military Alliance. These cannot be reinstated while at war with the Duke. The Duke sees all private actions, resolves Player actions, and manages Bandit Mechanics. If the Duke is eliminated, the game ends. The Duke may optionally choose a faction.","Senate Hall, Aristocratic Court","Royal Pavilion, Imperial Palace"
Elves,The Elder Grove,Cautious Quickfighters,Low,Medium,"Wise & Suspicious: Gain Doubt 1; If Public Order is 1+, armies gain Nimble, Steady, and Speed +1. Cannot be a member of an alliance.",Forge,Inquisitorial Palace
English Longbows,The Yew Heart,Skilled Volleys,Low,Medium,"Archery is a Way of Life: You begin the game with a Fletchery which does not occupy a Settlement ward, nor cost upkeep. You always gain its Mastery Effect, which cannot be deactivated. In addition, your armies must always be equipped with a ranged weapon. Ranged Weapons gain +1 to Hit. Cannot  be equipped with plate or articulated gothic plate. Cannot use shields. Cannot build a Preceptory of Knight's Templar.",Royal Pavilion,Senate Hall
